instruction,input,output
What is the main point about LIJEK?,,CORA LIJEK BOB ANDERS (to Mark) Little Laura Ingalls.
What is the main point about move?,,"Okay? Watching every move -- A sound at the door, and they go silent."
Who or what is LEE SCHATZ Dad's?,,LEE SCHATZ Dad's home.
What is the main point about LEE?,,LEE SCHATZ Dad's home.
Who or what is Ken?,,"Ken carrying his briefcase, cheerfully oblivious to what he's walked into."
What is the main point about Ken?,,"Ken carrying his briefcase, cheerfully oblivious to what he's walked into."
Who or what is TAYLOR You?,,TAYLOR You're getting a visitor.
What is the main point about visitor?,,TAYLOR You're getting a visitor.
Who or what is INT?,,158 OMITTED 158 159 INT.
What is the main point about INT?,,158 OMITTED 158 159 INT.
Who or what is WEST WING - MORNING?,,"WEST WING - MORNING 159 An NSC LIAISON, holding a file with a red stripe, walks to Jordan's office."
Who or what is NSC?,,"WEST WING - MORNING 159 An NSC LIAISON, holding a file with a red stripe, walks to Jordan's office."
Who or what is Jordan?,,"WEST WING - MORNING 159 An NSC LIAISON, holding a file with a red stripe, walks to Jordan's office."
What is the main point about WEST?,,"WEST WING - MORNING 159 An NSC LIAISON, holding a file with a red stripe, walks to Jordan's office."
What is the main point about ARGO?,,ARGO - Final 60.
Who or what is INT?,,160 INT.
What is the main point about INT?,,160 INT.
Who or what is Jordan?,,"CHIEF OF STAFF OFFICE - MORNING 160 He finds Jordan sitting on a long table, looking exhausted, silently watching one of the monitors: The Today Show on"
Who or what is NBC?,,"sitting on a long table, looking exhausted, silently watching one of the monitors: The Today Show on NBC."
What is the main point about CHIEF?,,"CHIEF OF STAFF OFFICE - MORNING 160 He finds Jordan sitting on a long table, looking exhausted, silently watching one of the monitors: The Today Show on NBC."
Who or what is Scranton?,,JORDAN A man in Scranton's putting a flag on his lawn for every day of captivity.
What is the main point about JORDAN?,,JORDAN A man in Scranton's putting a flag on his lawn for every day of captivity.
Who or what is BEAT?,,"(BEAT) When he runs out of lawn, Kennedy wins the primary."
Who or what is Kennedy?,,"(BEAT) When he runs out of lawn, Kennedy wins the primary."
What is the main point about BEAT?,,"(BEAT) When he runs out of lawn, Kennedy wins the primary."
What is the main point about Vance?,,Vance hands him the folder.
What is the main point about Canadians?,,LIAISON The six with the Canadians are coming out.
Who or what is Jordan?,,"Jordan, brought back from Scranton and politics by this, opens the file and looks at it."
Who or what is Scranton?,,"Jordan, brought back from Scranton and politics by this, opens the file and looks at it."
What is the main point about Jordan?,,"Jordan, brought back from Scranton and politics by this, opens the file and looks at it."
Who or what is JORDAN?,,JORDAN (after a moment) Who signed off on this? 161 OMITTED 161 161A EXT.
Who or what is EXT?,,JORDAN (after a moment) Who signed off on this? 161 OMITTED 161 161A EXT.
What is the main point about JORDAN?,,JORDAN (after a moment) Who signed off on this? 161 OMITTED 161 161A EXT.
Who or what is ISTANBUL?,,ISTANBUL - DAY 161A ESTABLISHING SHOT.
What is the main point about ISTANBUL?,,ISTANBUL - DAY 161A ESTABLISHING SHOT.
Who or what is WIDE?,,WIDE.
What is the main point about WIDE?,,WIDE.
What is the main point about city?,,"OVER the city, featuring the famous domed mosques."
Who or what is SUPERIMPOSE?,,SUPERIMPOSE: ISTANBUL - JANUARY 25 162 EXT.
Who or what is ISTANBUL?,,SUPERIMPOSE: ISTANBUL - JANUARY 25 162 EXT.
Who or what is EXT?,,SUPERIMPOSE: ISTANBUL - JANUARY 25 162 EXT.
What is the main point about SUPERIMPOSE?,,SUPERIMPOSE: ISTANBUL - JANUARY 25 162 EXT.
Who or what is ISTANBUL?,,"ISTANBUL - PLAZA ON THE WATER - DAY 162 Mendez walks, the BOSPHORUS in the b.g."
Who or what is BOSPHORUS?,,"ISTANBUL - PLAZA ON THE WATER - DAY 162 Mendez walks, the BOSPHORUS in the b.g."
What is the main point about ISTANBUL?,,"ISTANBUL - PLAZA ON THE WATER - DAY 162 Mendez walks, the BOSPHORUS in the b.g."
What is the main point about doors?,,He reaches the doors of an OFFICIAL-LOOKING BUILDING and gs inside.
Who or what is INT?,,163 INT.
What is the main point about INT?,,163 INT.
Who or what is ISTANBUL?,,IRANIAN CONSULATE (ISTANBUL) - DAY 163 Mendez sits in a reception room with a few VISA APPLICANTS.
What is the main point about IRANIAN?,,IRANIAN CONSULATE (ISTANBUL) - DAY 163 Mendez sits in a reception room with a few VISA APPLICANTS.
What is the main point about Photographs?,,Photographs of the Ayatollah Khomeini hang on the wall.
Who or what is REVOLUTIONARY GUARD?,,Two REVOLUTIONARY GUARD OFFICIALS in ill- fitting suits sit at a desk.
What is the main point about REVOLUTIONARY?,,Two REVOLUTIONARY GUARD OFFICIALS in ill- fitting suits sit at a desk.
What is the main point about ARGO?,,ARGO - Final 61.
Who or what is INT?,,164 INT.
What is the main point about INT?,,164 INT.
Who or what is IRANIAN?,,"IRANIAN CONSULATE - VISA OFFICE - DAY 164 The IRANIAN CONSUL OFFICIAL, late 30s, is smoking."
When did the events related to late 30s occur?,,"IRANIAN CONSULATE - VISA OFFICE - DAY 164 The IRANIAN CONSUL OFFICIAL, late 30s, is smoking."
What is the main point about IRANIAN?,,"IRANIAN CONSULATE - VISA OFFICE - DAY 164 The IRANIAN CONSUL OFFICIAL, late 30s, is smoking."
Who or what is Iran?,,CONSUL OFFICIAL What will be the purpose of your visit to Iran? MENDEZ Business.
What is the main point about CONSUL?,,CONSUL OFFICIAL What will be the purpose of your visit to Iran? MENDEZ Business.
What is the main point about Film?,,Film production.
What is the main point about Consul?,,The Consul Official looks at his Canadian passport.
Who or what is Canada?,,CONSUL OFFICIAL Why didn't you get your visa in Canada? MENDEZ My boss waited until I was here to send the telex.
What is the main point about CONSUL?,,CONSUL OFFICIAL Why didn't you get your visa in Canada? MENDEZ My boss waited until I was here to send the telex.
What is the main point about LIGHTING?,,"(LIGHTING CIGARETTE) If he had a thought in his head, it would die of loneliness."
Who or what is Mendez?,,Pointed look from Mendez.
What is the main point about look?,,Pointed look from Mendez.
What is the main point about condition?,,"The universal condition of boss hatred almost always works for him, and it ds now."
What is the main point about Consul?,,Consul nods.
What is the main point about Stamps?,,Stamps the passport.
Who or what is KINGDOM OF IRAN?,,KINGDOM OF IRAN -- He crosses out KINGDOM and writes by hand: ISLAMIC REPUBLIC OF.
Who or what is KINGDOM?,,KINGDOM OF IRAN -- He crosses out KINGDOM and writes by hand: ISLAMIC REPUBLIC OF.
What is the main point about KINGDOM?,,KINGDOM OF IRAN -- He crosses out KINGDOM and writes by hand: ISLAMIC REPUBLIC OF.
Who or what is EXT?,,164A EXT.
What is the main point about 164A?,,164A EXT.
Who or what is BLUE MOSQUE - MORNING?,,"BLUE MOSQUE - MORNING 164A Tony walks through the doorway revealing the historic mosque, we hear the call to prayer echo through"
Who or what is Tony?,,"BLUE MOSQUE - MORNING 164A Tony walks through the doorway revealing the historic mosque, we hear the call to prayer echo through the"
What is the main point about BLUE?,,"BLUE MOSQUE - MORNING 164A Tony walks through the doorway revealing the historic mosque, we hear the call to prayer echo through the courtyard."
Who or what is Tony?,,Tony walks through the courtyard.
What is the main point about Tony?,,Tony walks through the courtyard.
Who or what is 70s Instamatics?,,We see some TOURISTS with 70s Instamatics.
What is the main point about TOURISTS?,,We see some TOURISTS with 70s Instamatics.
What is the main point about Locals?,,Locals are HEADING IN TO PRAY.
Who or what is INT?,,165 INT.
What is the main point about INT?,,165 INT.
Who or what is HAGIA SOPHIA - UPPER?,,HAGIA SOPHIA - UPPER LEVEL - LATER 165 We see the beautiful ceiling of the former cathedral.
What is the main point about HAGIA?,,HAGIA SOPHIA - UPPER LEVEL - LATER 165 We see the beautiful ceiling of the former cathedral.
Who or what is Tony?,,PULL BACK to reveal Tony stands looking out over the second level balcony.
What is the main point about Tony?,,PULL BACK to reveal Tony stands looking out over the second level balcony.
What is the main point about MAN?,,A MAN walks up behind him.
Who or what is O.S.?,,MAN (O.S.) Iran is a hundred percent not in a pre-revolutionary state.' End quote.
Who or what is Iran?,,MAN (O.S.) Iran is a hundred percent not in a pre-revolutionary state.' End quote.
What is the main point about MAN?,,MAN (O.S.) Iran is a hundred percent not in a pre-revolutionary state.' End quote.
When did the events related to late 40s-50s occur?,,"Mendez looks up: a MAN, late 40s-50s with a British accent, is talking to him."
What is the main point about Mendez?,,"Mendez looks up: a MAN, late 40s-50s with a British accent, is talking to him."
Who or what is PETER NICHOLLS?,,"PETER NICHOLLS, an Oxbridge type and a very good spy."
Who or what is Oxbridge?,,"PETER NICHOLLS, an Oxbridge type and a very good spy."
What is the main point about PETER?,,"PETER NICHOLLS, an Oxbridge type and a very good spy."
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 62.
What is the main point about CONTINUED?,,165 CONTINUED: 165 MENDEZ Can't be right all the time.
Who or what is Harkins?,,NICHOLLS Mr. Harkins.
What is the main point about NICHOLLS?,,NICHOLLS Mr. Harkins.
Who or what is INT?,,MENDEZ When'd you get back? CUT TO: 165A INT.
What is the main point about MENDEZ?,,MENDEZ When'd you get back? CUT TO: 165A INT.
Who or what is HAGIA SOPHIA - LOWER?,,HAGIA SOPHIA - LOWER LEVEL - DAY 165A FIND Mendez and Nicholls.
Who or what is Nicholls?,,HAGIA SOPHIA - LOWER LEVEL - DAY 165A FIND Mendez and Nicholls.
What is the main point about HAGIA?,,HAGIA SOPHIA - LOWER LEVEL - DAY 165A FIND Mendez and Nicholls.
What is the main point about MENDEZ?,,MENDEZ Were you metal detecting? NICHOLLS None left to find.
What is the main point about Shah?,,Shah escaped with a 747 so laden with gold bars it nearly didn't make it off the runway.
What is the main point about MENDEZ?,,MENDEZ But you kept busy.
What is the main point about NICHOLLS?,,NICHOLLS Ferrying out the torture apparatus of our friend's fallen dictatorship.
What is the main point about men?,,Both these men do this work and share an unspoken understanding.
Who or what is MOSAIC?,,They stop and look up at a MOSAIC on the wall.
What is the main point about MOSAIC?,,They stop and look up at a MOSAIC on the wall.
Who or what is Christ?,,"An ancient rendition of Christ, fashioned before the Muslims took the city and converted this church to a mosque."
What is the main point about rendition?,,"An ancient rendition of Christ, fashioned before the Muslims took the city and converted this church to a mosque."
Who or what is Farsi?,,Nicholls has WHITE AND YELLOW SLIPS OF PAPER with Farsi writing on them in hand.
What is the main point about Nicholls?,,Nicholls has WHITE AND YELLOW SLIPS OF PAPER with Farsi writing on them in hand.
Who or what is Tony?,,He gives them to Tony.
What is the main point about Tony?,,He gives them to Tony.
What is the main point about NICHOLLS?,,NICHOLLS It's getting worse.
Who or what is Mehrabad?,,Everybody who lands at Mehrabad now fills out one of these.
What is the main point about Mehrabad?,,Everybody who lands at Mehrabad now fills out one of these.
What is the main point about WHITE?,,(a WHITE one) That slip makes a copy to this one underneath.
What is the main point about YELLOW?,,"(a YELLOW one) Passenger keeps Yellow, Airport keeps White."
What is the main point about CONTINUED?,,(MORE) (CONTINUED) ARGO - Final 63.
What is the main point about CONTINUED?,,"165A CONTINUED: 165A NICHOLLS (CONT'D) When you leave the country, they match them up to verify you came into the country when you said you did."
What is the main point about MENDEZ?,,"MENDEZ So if they look, they'll know six people didn't come in with me."
What is the main point about NICHOLLS?,,NICHOLLS If they look.
Who or what is Tony?,,"Nicholls and Tony turn away from the mosaic, surreptitious work now done, and meander toward the middle of the great room."
What is the main point about Nicholls?,,"Nicholls and Tony turn away from the mosaic, surreptitious work now done, and meander toward the middle of the great room."
Who or what is INT?,,166 INT.
What is the main point about INT?,,166 INT.
Who or what is Tony?,,HAGIA SOPHIA - CONTINUOUS ACTION 166 Nicholls and Tony walk towards the inner courtyard.
What is the main point about HAGIA?,,HAGIA SOPHIA - CONTINUOUS ACTION 166 Nicholls and Tony walk towards the inner courtyard.
Who or what is the Ministry of Culture and Islamic Guidance?,,"NICHOLLS When you land, you should go straight to the Ministry of Culture and Islamic Guidance to kiss the ring."
What is the main point about NICHOLLS?,,"NICHOLLS When you land, you should go straight to the Ministry of Culture and Islamic Guidance to kiss the ring."
What is the main point about record?,,Get on record as having applied for a film permit.
What is the main point about problem?,,Your biggest problem may be convincing the six of them to go with you.
What is the main point about service?,,They're foreign service.
What is the main point about Nicholls?,,Nicholls takes a picture.
Who or what is MENDEZ How's?,,MENDEZ How's June? NICHOLLS Left.
When did the events related to June occur?,,MENDEZ How's June? NICHOLLS Left.
What is the main point about MENDEZ?,,MENDEZ How's June? NICHOLLS Left.
What is the main point about MENDEZ?,,MENDEZ I'm sorry.
What is the main point about NICHOLLS?,,NICHOLLS She picked out a ring and gave me a choice.
What is the main point about national?,,She's a Chinese national.
Who or what is Christine?,,You and Christine? MENDEZ Good.
What is the main point about Christine?,,You and Christine? MENDEZ Good.
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 64.
What is the main point about CONTINUED?,,166 CONTINUED: 166 He said that without hesitation.
Who or what is Mendez?,,Maybe here we realize that Mendez is a very good liar.
What is the main point about Mendez?,,Maybe here we realize that Mendez is a very good liar.
What is the main point about 166A?,,166A EXT.INT.
Who or what is Lester?,,PRODUCERS' BUILDING - NIGHT 166A Lester is BOUNCING A RUBBER BALL.
Who or what is BOUNCING A RUBBER BALL?,,PRODUCERS' BUILDING - NIGHT 166A Lester is BOUNCING A RUBBER BALL.
What is the main point about PRODUCERS?,,PRODUCERS' BUILDING - NIGHT 166A Lester is BOUNCING A RUBBER BALL.
Who or what is PRODUCER?,,The PRODUCER from later in the movie walks by.
What is the main point about PRODUCER?,,The PRODUCER from later in the movie walks by.
What is the main point about PRODUCER?,,PRODUCER You're working late.
Who or what is SIEGEL Til?,,SIEGEL Til the dawn's early light.
What is the main point about SIEGEL?,,SIEGEL Til the dawn's early light.
Who or what is Lester?,,"PRODUCER You got stamina, Lester."
What is the main point about PRODUCER?,,"PRODUCER You got stamina, Lester."
Who or what is SIEGEL?,,SIEGEL You wouldn't be me for long.
When did the events related to 80 occur?,,I'm 80.
Who or what is Lester?,,Producer walks away and Lester looks into the Argo' office as he squeezes the ball.
What is the main point about Producer?,,Producer walks away and Lester looks into the Argo' office as he squeezes the ball.
Who or what is Lester?,,"FROM INSIDE THE OFFICE -- In the foreground, we see what Lester is looking at: a phone."
What is the main point about INSIDE?,,"FROM INSIDE THE OFFICE -- In the foreground, we see what Lester is looking at: a phone."
What is the main point about INT?,,167 OMITTED 167 168 OMITTED 168 169 OMITTED 169 170 INT.
Who or what is BRITISH AIRWAYS?,,BRITISH AIRWAYS DC-10 - MORNING 170 Mendez sits in a window seat.
What is the main point about BRITISH?,,BRITISH AIRWAYS DC-10 - MORNING 170 Mendez sits in a window seat.
What is the main point about FLIGHT?,,A FLIGHT ATTENDANT speaks with a pleasant British accent.
What is the main point about FLIGHT?,,FLIGHT ATTENDANT (V.O.) The Captain has informed us that we have entered Iranian airspace.
What is the main point about Members?,,Members of our cabin crew will be coming through to collect any remaining alcoholic beverages at this time.
What is the main point about ARGO?,,ARGO - Final 65.
Who or what is INT?,,171 INT.
What is the main point about INT?,,171 INT.
Who or what is MEHRABAD AIRPORT TERMINAL - DAY?,,MEHRABAD AIRPORT TERMINAL - DAY 171 Mendez walks through the terminal of a crowded 1960s-era airport.
When did the events related to 1960s-era occur?,,MEHRABAD AIRPORT TERMINAL - DAY 171 Mendez walks through the terminal of a crowded 1960s-era airport.
What is the main point about MEHRABAD?,,MEHRABAD AIRPORT TERMINAL - DAY 171 Mendez walks through the terminal of a crowded 1960s-era airport.
What is the main point about portraits?,,Newly-hung portraits of the Ayatollah Khomeini watch over the duty-free shops.
Who or what is SUPERIMPOSE?,,SUPERIMPOSE: TEHRAN - JANUARY 26 The MOBS OF PEOPLE WITH BOXES OF THEIR WORLDLY BELONGINGS puts in high relief that
Who or what is Tony?,,TEHRAN - JANUARY 26 The MOBS OF PEOPLE WITH BOXES OF THEIR WORLDLY BELONGINGS puts in high relief that Tony is going into a place that everyone else is desperately fleeing.
What is the main point about SUPERIMPOSE?,,SUPERIMPOSE: TEHRAN - JANUARY 26 The MOBS OF PEOPLE WITH BOXES OF THEIR WORLDLY BELONGINGS puts in high relief that Tony is going into a place that everyone else is desperately fleeing.
Who or what is INT?,,172 INT.
What is the main point about INT?,,172 INT.
Who or what is MEHRABAD AIRPORT IMMIGRATION - DAY?,,MEHRABAD AIRPORT IMMIGRATION - DAY 172 Tony fills out a white form.
Who or what is Tony?,,MEHRABAD AIRPORT IMMIGRATION - DAY 172 Tony fills out a white form.
What is the main point about MEHRABAD?,,MEHRABAD AIRPORT IMMIGRATION - DAY 172 Tony fills out a white form.
What is the main point about impression?,,It makes an impression on a YELLOW form.
Who or what is Tony?,,Tony presents his passport to a REVOLUTIONARY GUARD IMMIGRATION OFFICIAL.
Who or what is REVOLUTIONARY GUARD IMMIGRATION?,,Tony presents his passport to a REVOLUTIONARY GUARD IMMIGRATION OFFICIAL.
What is the main point about Tony?,,Tony presents his passport to a REVOLUTIONARY GUARD IMMIGRATION OFFICIAL.
Who or what is Tony?,,"Official looks at it, Tony hears the sound of a woman screaming in Farsi."
Who or what is Farsi?,,"Official looks at it, Tony hears the sound of a woman screaming in Farsi."
What is the main point about Tony?,,"Official looks at it, Tony hears the sound of a woman screaming in Farsi."
Who or what is Revolutionary Guard?,,"Three lanes away, at the outgoing immigration station, a Revolutionary Guard is dragging away the woman's HUSBAND."
Who or what is HUSBAND?,,"lanes away, at the outgoing immigration station, a Revolutionary Guard is dragging away the woman's HUSBAND."
What is the main point about immigration?,,"Three lanes away, at the outgoing immigration station, a Revolutionary Guard is dragging away the woman's HUSBAND."
Who or what is Tony?,,"The Immigration Official stamps Tony's passport -- takes the white form, gives Tony the yellow one -- and waves him through."
Who or what is Tony?,,"The Immigration Official stamps Tony's passport -- takes the white form, gives Tony the yellow one -- and waves him through."
What is the main point about Immigration?,,"The Immigration Official stamps Tony's passport -- takes the white form, gives Tony the yellow one -- and waves him through."
Who or what is EXT?,,173 EXT.
What is the main point about EXT?,,173 EXT.
Who or what is TEHRAN?,,TEHRAN - DAY 173 Archive footage may be mixed with new footage.
What is the main point about TEHRAN?,,TEHRAN - DAY 173 Archive footage may be mixed with new footage.
What is the main point about city?,,Normal city life mixed with men with automatic weapons.
Who or what is Tehran?,,The contradictions of Tehran at this moment.
What is the main point about contradictions?,,The contradictions of Tehran at this moment.
Who or what is EXT?,,173A EXT.
What is the main point about 173A?,,173A EXT.
Who or what is TEHRAN?,,TEHRAN - DAY 173A A Massive HELICOPTER SHOT OF TEHRAN.
What is the main point about TEHRAN?,,TEHRAN - DAY 173A A Massive HELICOPTER SHOT OF TEHRAN.
What is the main point about traffic?,,We TILT DOWN to see a traffic jam SPRAWLS AROUND THE AZADI MONUMENT.
What is the main point about Bikes?,,"Bikes, mopeds, pedestrians, peddlers and old, patched together cars compete for space."
What is the main point about one?,,No one gets anywhere.
What is the main point about INT?,,174 INT.
Who or what is TAXI?,,"TAXI - DAY 174 Mendez sits in the back of a taxi in the Tehran traffic, some of the worst traffic in the"
Who or what is Tehran?,,"TAXI - DAY 174 Mendez sits in the back of a taxi in the Tehran traffic, some of the worst traffic in the world."
What is the main point about TAXI?,,"TAXI - DAY 174 Mendez sits in the back of a taxi in the Tehran traffic, some of the worst traffic in the world."
What is the main point about AZADI?,,We see the AZADI MONUMENT out his window.
Who or what is Ayatollah?,,ANGLES OUT HIS WINDOWS The Ayatollah looks down from everywhere.
What is the main point about ANGLES?,,ANGLES OUT HIS WINDOWS The Ayatollah looks down from everywhere.
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 66.
What is the main point about CONTINUED?,,174 CONTINUED: 174 A MAN IS HANGING FROM A CRANE.
What is the main point about People?,,People mill underneath.
Who or what is Kentucky Fried Chicken?,,Women in chadors at Kentucky Fried Chicken.
What is the main point about Women?,,Women in chadors at Kentucky Fried Chicken.
What is the main point about GANG?,,An ARMED GANG in the back of pickup truck pulls up near his taxi.
What is the main point about PROPAGANDA?,,We see PROPAGANDA painted on a wallwindow.
Who or what is INT?,,175 INT.
What is the main point about INT?,,175 INT.
Who or what is TAXIEXT?,,TAXIEXT.
What is the main point about TAXIEXT?,,TAXIEXT.
When did the events related to MINISTRY - DAY occur?,,"MINISTRY - DAY 175 The taxi pulls up to a FORMAL, PINK BUILDING."
Who or what is FORMAL?,,"MINISTRY - DAY 175 The taxi pulls up to a FORMAL, PINK BUILDING."
What is the main point about MINISTRY?,,"MINISTRY - DAY 175 The taxi pulls up to a FORMAL, PINK BUILDING."
Who or what is Driver?,,The Driver stops.
What is the main point about Driver?,,The Driver stops.
Who or what is INT?,,176 INT.
What is the main point about INT?,,176 INT.
Who or what is ISLAMIC GUIDANCE - DAY?,,"MINISTRY OF CULTURE AND ISLAMIC GUIDANCE - DAY 176 MEHDI BEHROUZ, 33, is the newly appointed Deputy Minister of Culture and Islamic Guidance."
When did the events related to 33 occur?,,"MINISTRY OF CULTURE AND ISLAMIC GUIDANCE - DAY 176 MEHDI BEHROUZ, 33, is the newly appointed Deputy Minister of Culture and Islamic Guidance."
What is the main point about MINISTRY?,,"MINISTRY OF CULTURE AND ISLAMIC GUIDANCE - DAY 176 MEHDI BEHROUZ, 33, is the newly appointed Deputy Minister of Culture and Islamic Guidance."
Who or what is U.S.?,,"Like many of the stars of the Revolution, he was educated in the U.S."
What is the main point about stars?,,"Like many of the stars of the Revolution, he was educated in the U.S."
What is the main point about ARGO?,,Right now he's looking at the ARGO script.
Who or what is BEHROUZ?,,BEHROUZ This film crew is just yourself? MENDEZ Six more are joining me today.
When did the events related to today occur?,,BEHROUZ This film crew is just yourself? MENDEZ Six more are joining me today.
What is the main point about film?,,BEHROUZ This film crew is just yourself? MENDEZ Six more are joining me today.
Who or what is Canada?,,They're coming from Canada.
What is the main point about Canada?,,They're coming from Canada.
Who or what is BEHROUZ You'd?,,"BEHROUZ You'd like to film at the bazaar? MENDEZ The bazaar, maybe the palace."
What is the main point about BEHROUZ?,,"BEHROUZ You'd like to film at the bazaar? MENDEZ The bazaar, maybe the palace."
Who or what is BEHROUZ?,,BEHROUZ (NOT PARTICULARLY FRIENDLY) I see.
What is the main point about BEHROUZ?,,BEHROUZ (NOT PARTICULARLY FRIENDLY) I see.
What is the main point about Orient?,,The exotic Orient.
What is the main point about Snake?,,Snake charmers and flying carpets.
Who or what is BEAT?,,(A BEAT) You come to us at a complicated time.
What is the main point about BEAT?,,(A BEAT) You come to us at a complicated time.
Who or what is Tehran?,,"Before the Revolution, 40 percent of the movie theaters in Tehran were showing pornography."
What is the main point about Revolution?,,"Before the Revolution, 40 percent of the movie theaters in Tehran were showing pornography."
What is the main point about function?,,Our function is purification as well as promotion of the arts.
What is the main point about TAKES?,,(TAKES SCRIPT) I'll review for the Minister.
What is the main point about ARGO?,,ARGO - Final 67.
Who or what is EXT?,,177 EXT.
What is the main point about EXT?,,177 EXT.
Who or what is CANADIAN EMBASSY - DAY?,,CANADIAN EMBASSY - DAY 177 A TAXI pulls away.
Who or what is TAXI?,,CANADIAN EMBASSY - DAY 177 A TAXI pulls away.
What is the main point about EMBASSY?,,CANADIAN EMBASSY - DAY 177 A TAXI pulls away.
Who or what is MAPLE?,,"Mendez, carrying his luggage, stands at a wrought iron gate with MAPLE LEAVES worked into the iron."
What is the main point about Mendez?,,"Mendez, carrying his luggage, stands at a wrought iron gate with MAPLE LEAVES worked into the iron."
Who or what is Ken Taylor?,,"Ken Taylor comes out of the building, opens the gate himself."
What is the main point about Ken?,,"Ken Taylor comes out of the building, opens the gate himself."
Who or what is Ambassador?,,MENDEZ Mr. Ambassador.
What is the main point about MENDEZ?,,MENDEZ Mr. Ambassador.
Who or what is TAYLOR Ken Taylor?,,TAYLOR Ken Taylor.
What is the main point about Ken?,,TAYLOR Ken Taylor.
Who or what is Tony?,,He shakes Tony's hand and they start to walk to Taylor's car.
Who or what is Taylor?,,He shakes Tony's hand and they start to walk to Taylor's car.
What is the main point about Tony?,,He shakes Tony's hand and they start to walk to Taylor's car.
What is the main point about G?,,TAYLOR I was expecting more of a G-Man look.
Who or what is FBI?,,"MENDEZ You're thinking of FBI, sir."
What is the main point about MENDEZ?,,"MENDEZ You're thinking of FBI, sir."
What is the main point about car?,,They get into the car.
Who or what is INT?,,178 INT.
What is the main point about INT?,,178 INT.
Who or what is TAYLOR?,,TAYLOR'S CAR - OUTSIDE EMBASSY - CONTINUOUS ACTION 178 Taylor gives Tony SIX BLANK CANADIAN PASSPORTS.
Who or what is EMBASSY?,,TAYLOR'S CAR - OUTSIDE EMBASSY - CONTINUOUS ACTION 178 Taylor gives Tony SIX BLANK CANADIAN PASSPORTS.
Who or what is Taylor?,,TAYLOR'S CAR - OUTSIDE EMBASSY - CONTINUOUS ACTION 178 Taylor gives Tony SIX BLANK CANADIAN PASSPORTS.
Who or what is Tony?,,TAYLOR'S CAR - OUTSIDE EMBASSY - CONTINUOUS ACTION 178 Taylor gives Tony SIX BLANK CANADIAN PASSPORTS.
What is the main point about TAYLOR?,,TAYLOR'S CAR - OUTSIDE EMBASSY - CONTINUOUS ACTION 178 Taylor gives Tony SIX BLANK CANADIAN PASSPORTS.
Who or what is y'know?,,"TAYLOR These are blank, y'know."
What is the main point about y'know?,,"TAYLOR These are blank, y'know."
What is the main point about stamps?,,The stamps? MENDEZ I'll take care of that.
Who or what is TAYLOR?,,TAYLOR How long? MENDEZ A day to prep them with their cover stories.
What is the main point about MENDEZ?,,TAYLOR How long? MENDEZ A day to prep them with their cover stories.
Who or what is Tony?,,TAYLOR And you'll fly out with them? Tony nods.
What is the main point about Tony?,,TAYLOR And you'll fly out with them? Tony nods.
What is the main point about sound?,,A distant sound of a crowd outside.
What is the main point about CONTINUED?,,(CONTINUED) ARGO - Final 68.
What is the main point about CONTINUED?,,178 CONTINUED: 178 TAYLOR There's something you should know.
What is the main point about housekeepers?,,We think one of our housekeepers figured out who they are.
What is the main point about noise?,,Now the noise outside is louder.
Who or what is Taylor?,,Taylor turns to the window.
What is the main point about Taylor?,,Taylor turns to the window.
Who or what is Tony?,,Tony joins him.
What is the main point about Tony?,,Tony joins him.
What is the main point about demonstration?,,"They stand listening to the demonstration sounds, echoing over the rooftops of the city."
Who or what is INT?,,179 OMITTED 179 179A INT.
What is the main point about 179A?,,179 OMITTED 179 179A INT.
Who or what is CIA?,,CIA - O'DONNELL'S OFFICE - NIGHT 179A O'DONNELL He got to the embassy.
Who or what is O'DONNELL?,,CIA - O'DONNELL'S OFFICE - NIGHT 179A O'DONNELL He got to the embassy.
What is the main point about CIA?,,CIA - O'DONNELL'S OFFICE - NIGHT 179A O'DONNELL He got to the embassy.
Who or what is O'Donnell?,,O'Donnell closes the door.
What is the main point about O'Donnell?,,O'Donnell closes the door.
What is the main point about tuxedo?,,"Pender, wearing an undone tuxedo, as if he's just been pulled from a formal event."
Who or what is O'DONNELL?,,O'DONNELL I can't tell you more than that cause I don't know any more.
What is the main point about O'DONNELL?,,O'DONNELL I can't tell you more than that cause I don't know any more.
Who or what is Times?,,PENDER (cutting to it) The Times and A.P. found out they're with the Canadians.
Who or what is A.P.?,,PENDER (cutting to it) The Times and A.P. found out they're with the Canadians.
What is the main point about PENDER?,,PENDER (cutting to it) The Times and A.P. found out they're with the Canadians.
What is the main point about families?,,Somebody in one of the families talked.
Who or what is O'DONNELL Mother?,,O'DONNELL Mother of God.
What is the main point about O'DONNELL?,,O'DONNELL Mother of God.
Who or what is Vance?,,PENDER I just put Vance on a plane to take the editors to Le Cirque.
What is the main point about Vance?,,PENDER I just put Vance on a plane to take the editors to Le Cirque.
Who or what is BEAT?,,(A BEAT) Your guy better get them and get the hell out.
What is the main point about BEAT?,,(A BEAT) Your guy better get them and get the hell out.
What is the main point about ARGO?,,ARGO - Final 69.
Who or what is EXT?,,180 EXT.
What is the main point about EXT?,,180 EXT.
